qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
ABEFGHIL,3F,3H,3E,3I,3B,3A,3G,3L
ABEFGHIK,3F,3H,3E,3K,3B,3A,3G,3I
ABEFGHIJ,3F,3G,3H,3I,3B,3A,3J,3E
ABDHIJKL,3D,3H,3I,3K,3B,3A,3J,3L
ABDGIJKL,3D,3G,3I,3K,3B,3A,3J,3L
ABDGHJKL,3D,3G,3H,3K,3B,3A,3J,3L
ABDGHIKL,3D,3H,3I,3K,3B,3A,3G,3L
ABDGHIJL,3D,3G,3H,3I,3B,3A,3J,3L
ABDGHIJK,3D,3G,3H,3K,3B,3A,3J,3I
ABDFIJKL,3D,3F,3I,3K,3B,3A,3J,3L
ABDFHJKL,3D,3F,3H,3K,3B,3A,3J,3L
ABDFHIKL,3D,3F,3H,3K,3B,3A,3I,3L
ABDFHIJL,3D,3F,3H,3I,3B,3A,3J,3L
ABDFHIJK,3D,3F,3H,3K,3B,3A,3J,3I
ABDFGJKL,3D,3G,3F,3K,3B,3A,3J,3L
ABDFGIKL,3D,3F,3I,3K,3B,3A,3G,3L
ABDFGIJL,3D,3G,3F,3I,3B,3A,3J,3L
ABDFGIJK,3D,3G,3F,3K,3B,3A,3J,3I
ABDFGHKL,3D,3F,3H,3K,3B,3A,3G,3L
ABDFGHJL,3D,3F,3H,3J,3B,3A,3G,3L
ABDFGHJK,3D,3F,3H,3K,3B,3A,3G,3J
ABDFGHIL,3D,3F,3H,3I,3B,3A,3G,3L
ABDFGHIK,3D,3F,3H,3K,3B,3A,3G,3I
ABDFGHIJ,3D,3F,3H,3J,3B,3A,3G,3I
ABDEIJKL,3A,3D,3E,3K,3B,3I,3J,3L
ABDEHJKL,3D,3H,3E,3K,3B,3A,3J,3L
ABDEHIKL,3D,3H,3E,3K,3B,3A,3I,3L
ABDEHIJL,3D,3H,3E,3I,3B,3A,3J,3L
ABDEHIJK,3D,3H,3E,3K,3B,3A,3J,3I
ABDEGJKL,3D,3G,3E,3K,3B,3A,3J,3L
ABDEGIKL,3A,3D,3E,3K,3B,3I,3G,3L
ABDEGIJL,3D,3G,3E,3I,3B,3A,3J,3L
